state,"Population 2015","Population 2016",diff
Arizona,6817565,6931071,-113500
Arkansas,2977853,2988248,-10400
California,38993940,39250017,-256100
Colorado,5448819,5540545,-91700
"District of Columbia",670377,681170,-10800
Florida,20244914,20612439,-367500
Georgia,10199398,10310371,-111000
Idaho,1652828,1683140,-30300
Indiana,6612768,6633053,-20300
Iowa,3121997,3134693,-12700
Kentucky,4424611,4436974,-12400
Louisiana,4668960,4681666,-12700
Maryland,5994983,6016447,-21500
Massachusetts,6784240,6811779,-27500
Michigan,9917715,9928300,-10600
Minnesota,5482435,5519952,-37500
Missouri,6076204,6093000,-16800
Montana,1032073,1042520,-10400
Nebraska,1893765,1907116,-13400
Nevada,2883758,2940058,-56300
"North Carolina",10035186,10146788,-111600
Oklahoma,3907414,3923561,-16100
Oregon,4024634,4093465,-68800
"South Carolina",4894834,4961119,-66300
Tennessee,6595056,6651194,-56100
Texas,27429639,27862596,-433000
Utah,2990632,3051217,-60600
Virginia,8367587,8411808,-44200
Washington,7160290,7288000,-127700
Wisconsin,5767891,5778708,-10800
